"Term ID","Term Permalink","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count,"Image URL",product_group_id,product_group_name,category_id,category_name,subcategory_id,subcategory_name,part_type_id,part_type_name,subpart_id,suppart_name,short_description,long_description,turn_off_subcategories_products,category_image
103,http://transamericanautoparts.local/category/door-frame-assembly/,"Door Frame Assembly",door-frame-assembly,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-16043,,,,,,,,,
104,http://transamericanautoparts.local/category/door-lock-knob/,"Door Lock Knob",door-lock-knob,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-1290,,,,,,,,,
105,http://transamericanautoparts.local/category/weatherstrip-seals/,"Weatherstrip Seals",weatherstrip-seals,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",cat1130165,,,,,,,,,
106,http://transamericanautoparts.local/category/push-pins/,"Push Pins",push-pins,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",cat1130162,,,,,,,,,
107,http://transamericanautoparts.local/category/door-surround-moulding-spacer-kit/,"Door Surround Moulding Spacer Kit",door-surround-moulding-spacer-kit,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",cat1130156,,,,,,,,,
108,http://transamericanautoparts.local/category/door-pull-handle-end-cap/,"Door Pull Handle End Cap",door-pull-handle-end-cap,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-16011,,,,,,,,,
109,http://transamericanautoparts.local/category/door-retaining-channel/,"Door Retaining Channel",door-retaining-channel,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-14744,,,,,,,,,
110,http://transamericanautoparts.local/category/tool-box-lift-support/,"Tool Box Lift Support",tool-box-lift-support,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",cat1440208,,,,,,,,,
111,http://transamericanautoparts.local/category/soft-door-snaps/,"Soft Door Snaps",soft-door-snaps,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-19964,,,,,,,,,
112,http://transamericanautoparts.local/category/door-lock-rod-retainer/,"Door Lock Rod Retainer",door-lock-rod-retainer,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-13641,,,,,,,,,
