Term Name,Parent Name,Parent Slug,Count,Image URL,Image Filename,Image Path,Image ID,Image Title,Image Caption,Image Description,Image Alt Text,Image Featured,category_id,_category_id,Product Group ID,Product Group Name,Category Name,Subcategory ID,Subcategory Name,Part Type ID,Part Type Name,SubPart ID,SupPart Name,Short Description (Top),Long Description (Bottom)
"Intake Kits, Air Filter & Throttle Body Spacers",Performance Parts,,,,,,,,,,,,4wp-us-S4,,,,Performance Parts,4wp-us-SC6,,,,,,,
"Carburetors, Intake Manifolds, and Throttle Body",Performance Parts,,,,,,,,,,,,4wp-us-S4,,,,Performance Parts,4wp-us-SC550,,,,,,,
Gauge Mounting & Gauge Accessories,Performance Parts,,,,,,,,,,,,4wp-us-S4,,,,Performance Parts,4wp-us-SC561,,,,,,,
Engine Oiling System,Performance Parts,,,,,,,,,,,,4wp-us-S4,,,,Performance Parts,4wp-us-SC553,,,,,,,
"Pulleys, Belts & Accessories",Performance Parts,,,,,,,,,,,,4wp-us-S4,,,,Performance Parts,4wp-us-SC556,,,,,,,
Performance Electronics,Performance Parts,,,,,,,,,,,,4wp-us-S4,,,,Performance Parts,4wp-us-SC33,,,,,,,
Performance Ignition Systems,Performance Parts,,,,,,,,,,,,4wp-us-S4,,,,Performance Parts,4wp-us-SC43,,,,,,,
"Fuel Injectors, Pumps & Throttle Control",Performance Parts,,,,,,,,,,,,4wp-us-S4,,,,Performance Parts,4wp-us-SC368,,,,,,,
Turbo & Intercooler Upgrades,Performance Parts,,,,,,,,,,,,4wp-us-S4,,,,Performance Parts,4wp-us-SC376,,,,,,,
Engine Sensors,Performance Parts,,,,,,,,,,,,4wp-us-S4,,,,Performance Parts,4wp-us-SC151,,,,,,,
